date,hour,category,team1,team2,number of goals team1,number of goals team2,possession team1,possession team2,total attempts team1,total attempts team2,on target attempts team1,on target attempts team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2,fouls against team1,fouls against team2,passes team1,passes team2,crosses team1,crosses team2,total goals per match,match result
2022-11-20,17:00:00,Group A,QATAR,ECUADOR,0,2,42%,50%,5,6,0,3,4,2,0,0,15,15,450,480,9,14,2,QATAR 0 x 2 ECUADOR
2022-11-21,14:00:00,Group B,ENGLAND,IRAN,6,2,72%,19%,13,8,7,3,0,2,0,0,9,14,809,224,23,8,8,ENGLAND 6 x 2 IRAN
2022-11-21,17:00:00,Group A,SENEGAL,NETHERLANDS,0,2,44%,45%,14,9,3,3,2,1,0,0,13,13,383,438,19,25,2,SENEGAL 0 x 2 NETHERLANDS
2022-11-21,20:00:00,Group B,UNITED STATES,WALES,1,1,51%,39%,6,7,1,3,4,2,0,0,15,10,569,409,31,15,2,UNITED STATES 1 x 1 WALES
2022-11-22,11:00:00,Group C,ARGENTINA,SAUDI ARABIA,1,2,64%,24%,14,3,6,2,0,6,0,0,7,21,610,267,29,9,3,ARGENTINA 1 x 2 SAUDI ARABIA
2022-11-22,14:00:00,Group D,DENMARK,TUNISIA,0,0,55%,33%,11,11,4,1,2,1,0,0,9,10,594,387,27,13,0,DENMARK 0 x 0 TUNISIA
2022-11-22,17:00:00,Group C,MEXICO,POLAND,0,0,54%,31%,13,8,4,1,2,1,0,0,14,16,485,322,33,10,0,MEXICO 0 x 0 POLAND
2022-11-22,20:00:00,Group D,FRANCE,AUSTRALIA,4,1,56%,35%,22,4,7,1,0,3,0,0,5,11,734,466,34,9,5,FRANCE 4 x 1 AUSTRALIA
2022-11-23,11:00:00,Group F,MOROCCO,CROATIA,0,0,32%,57%,8,6,2,2,1,0,0,0,17,11,360,667,10,19,0,MOROCCO 0 x 0 CROATIA
2022-11-23,14:00:00,Group E,GERMANY,JAPAN,1,2,65%,22%,25,10,9,3,0,0,0,0,6,14,820,261,28,16,3,GERMANY 1 x 2 JAPAN
